0,H-E-B Select Ingredients Lightly Salted Deluxe Mixed Nuts,3,tbsp,28,0,180,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,9,3.5,0,0,6,2,1,0,0,0,40,1.08,60,150,0,50,1.2,0.4,0.6,0,0,0,0,0,0.4,0,0,0,0,0,0,2.7,0,H-E-B,5.78,9,Dried Fruits and Nuts
1,Sabritas Japanese Style Peanuts,3,tbsp,30,0,160,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.5,0,0,0,0,15,2,4,0,0,0,0,0.36,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,1.99,7,Dried Fruits and Nuts
2,Ocean Spray Craisins Reduced Sugar Sweetened Dried Cranberries,0.25,cup,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,1.94,3,Dried Fruits and Nuts
3,Bulk Ellis Pecan Fancy Pecan Halves,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,11.99,0,Dried Fruits and Nuts
4,H-E-B Select Ingredients California Sweet Raisins Mini Boxes,3,boxes,43,0,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,25,0,0,0,20,0.72,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,H-E-B,2,4.5,Dried Fruits and Nuts
5,H-E-B Roasted and Salted Peanuts,0.25,cup,28,0,160,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,7,4.5,0,0,5,2,1,0,0,0,20,0.36,60,150,190,110,1.5,0.4,0.6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,H-E-B,2.58,12,Dried Fruits and Nuts
6,H-E-B Dried Fruit Jumbo Raisin Medley,0.25,cup,40,0,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,29,0,0,0,20,1.08,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,3.24,9,Dried Fruits and Nuts
7,Sabritas Mexican Style Mix Peanuts,3,tbsp,30,0,200,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,5,4,1,0,0,0,0,0.36,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,1.99,7,Dried Fruits and Nuts
8,SunRidge Farms Turkish Apricots - Unsulphured,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,7.99,0,Dried Fruits and Nuts
9,SunRidge Farms Cranberry Fiesta Mix,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,5.49,0,Dried Fruits and Nuts
10,SunRidge Farms Cashews - Whole Raw,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,10.49,0,Dried Fruits and Nuts
11,Nutty And Fruity Ginger Chunks,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,3.99,0,Dried Fruits and Nuts
12,H-E-B Organics Raw Sunflower Seeds  Unsalted,0.25,cups,30,0,170,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.5,0,0,0,0,6,3,1,0,0,0,40,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,2.77,9,Dried Fruits and Nuts
13,Picosos Hot Chili Peanuts,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,3.36,0,Dried Fruits and Nuts
14,SunRidge Farms Organic Dried Goji Berries,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,21.99,0,Dried Fruits and Nuts
